timestamp,encoderLSpeed,leftCtrl
1755262862097,0.000000,0.000000
1755262862097,0.000000,0.000000
1755262862101,0.000000,0.000000
1755262862101,0.000000,0.000000
1755262862102,0.000000,0.000000
1755262862102,0.000000,0.000000
1755262862109,0.000000,0.000000
1755262862109,0.000000,0.000000
1755262862109,0.000000,0.000000
1755262862113,0.000000,0.000000
1755262862113,0.000000,0.000000
1755262862113,0.000000,0.000000
1755262862117,0.000000,0.000000
1755262862117,0.000000,0.000000
1755262862120,0.000000,0.000000
1755262862124,0.000000,0.000000
1755262862124,0.000000,0.000000
1755262862128,0.000000,0.000000
1755262862128,0.000000,0.000000
1755262862132,0.000000,0.000000
1755262862132,0.000000,0.000000
1755262862136,0.000000,0.000000
1755262862136,0.000000,0.000000
1755262862140,0.000000,0.000000
1755262862140,0.000000,0.000000
1755262862143,0.000000,0.000000
1755262862148,0.000000,0.000000
1755262862148,0.000000,0.000000
1755262862148,0.000000,0.000000
1755262862151,0.000000,0.000000
1755262862151,0.000000,0.000000
1755262862156,0.000000,0.000000
1755262862156,0.000000,0.000000
1755262862159,0.000000,0.000000
1755262862163,0.000000,0.000000
1755262862163,0.000000,0.000000
1755262862167,0.000000,0.000000
1755262862167,0.000000,0.000000
1755262862171,0.000000,0.000000
1755262862171,0.000000,0.000000
1755262862175,0.000000,0.000000
1755262862175,0.000000,0.000000
1755262862179,0.000000,0.000000
1755262862183,0.000000,0.000000
1755262862183,0.000000,0.000000
1755262862183,0.000000,0.000000
1755262862187,0.000000,0.000000
1755262862190,0.000000,0.000000
1755262862190,0.000000,0.000000
1755262862193,0.000000,0.000000
1755262862193,0.000000,0.000000
1755262862198,0.000000,0.000000
1755262862198,0.000000,0.000000
1755262862202,0.000000,0.000000
1755262862202,0.000000,0.000000
1755262862205,0.000000,0.000000
1755262862209,0.000000,0.000000
1755262862209,0.000000,0.000000
1755262862212,0.000000,0.000000
1755262862212,0.000000,0.000000
1755262862216,0.000000,0.000000
1755262862216,0.000000,0.000000
1755262862219,0.000000,0.000000
1755262862219,0.000000,0.000000
1755262862224,0.000000,0.000000
1755262862224,0.000000,0.000000
1755262862227,0.000000,0.000000
1755262862231,0.000000,0.000000
1755262862231,0.000000,0.000000
1755262862235,0.000000,0.000000
1755262862235,0.000000,0.000000
1755262862238,0.000000,0.000000
1755262862238,0.000000,0.000000
1755262862242,0.000000,0.000000
1755262862245,0.000000,0.000000
1755262862245,0.000000,0.000000
1755262862249,0.000000,0.000000
1755262862249,0.000000,0.000000
1755262862253,0.000000,0.000000
1755262862253,0.000000,0.000000
1755262862257,0.000000,0.000000
1755262862257,0.000000,0.000000
1755262862260,0.000000,0.000000
1755262862264,0.000000,0.000000
1755262862264,0.000000,0.000000
1755262862268,0.000000,0.000000
1755262862268,0.000000,0.000000
1755262862272,0.000000,0.000000
1755262862272,0.000000,0.000000
1755262862276,0.000000,0.000000
1755262862276,0.000000,0.000000
1755262862279,0.000000,0.000000
1755262862279,0.000000,0.000000
1755262862283,0.000000,0.000000
1755262862286,0.000000,0.000000
1755262862286,0.000000,0.000000
1755262862290,0.000000,0.000000
1755262862290,0.000000,0.000000
