timestamp,encoderLSpeed,encoderRSpeed,RControl
1755261996185,0.000000,0.000000,0.000000
1755261996190,0.000000,0.000000,0.000000
1755261996190,0.000000,0.000000,0.000000
1755261996194,0.000000,0.000000,0.000000
1755261996197,0.000000,0.000000,9223379733436170240.000000
1755261996199,0.000000,0.000000,9223379733436170240.000000
1755261996199,0.000000,0.000000,9223380832947798016.000000
1755261996205,0.000000,0.000000,9223381932459425792.000000
1755261996205,0.000000,0.000000,9223383031971053568.000000
1755261996205,0.000000,0.000000,-0.000000
1755261996208,0.000000,-44.219997,-0.000000
1755261996212,0.000000,0.000000,-0.000000
1755261996212,0.000000,0.000000,-0.000000
1755261996216,44.219997,-44.219997,-0.000000
1755261996216,0.000000,0.000000,0.000000
1755261996220,44.219997,-44.219997,0.000000
1755261996220,0.000000,0.000000,0.000000
1755261996223,44.219997,-44.219997,0.000000
1755261996223,0.000000,-44.219997,0.000000
1755261996228,44.219997,-44.219997,-0.000000
1755261996228,44.219997,0.000000,-0.000000
1755261996231,44.219997,-44.219997,-0.000000
1755261996231,44.219997,-44.219997,-0.000000
1755261996235,44.219997,0.000000,-0.000000
1755261996239,44.219997,-88.439995,-128.000305
1755261996239,44.219997,0.000000,-128.000290
1755261996239,44.219997,-44.219997,-128.000305
1755261996245,44.219997,-44.219997,-128.000305
1755261996245,88.439995,-88.439995,-128.000290
1755261996248,44.219997,-44.219997,33554520.000000
1755261996248,44.219997,-44.219997,33554516.000000
1755261996252,88.439995,-88.439995,33554512.000000
1755261996252,44.219997,-44.219997,33554508.000000
1755261996256,88.439995,-44.219997,33554504.000000
1755261996260,44.219997,-88.439995,-0.000000
1755261996260,88.439995,-44.219997,-0.000000
1755261996260,44.219997,-88.439995,-0.000000
1755261996263,88.439995,-88.439995,-0.000000
1755261996267,44.219997,-44.219997,-0.000000
1755261996267,88.439995,-88.439995,0.007813
1755261996272,88.439995,-88.439995,0.007813
1755261996272,44.219997,-44.219997,0.007813
1755261996272,88.439995,-88.439995,0.007813
1755261996275,88.439995,-44.219997,0.007813
1755261996279,88.439995,-132.659988,37779003920551199637504.000000
1755261996279,44.219997,-44.219997,37778999416951572267008.000000
1755261996284,88.439995,-88.439995,37778999416951572267008.000000
1755261996285,88.439995,-44.219997,37779003920551199637504.000000
1755261996285,88.439995,-88.439995,37779003920551199637504.000000
1755261996288,88.439995,-88.439995,-0.000000
1755261996288,44.219997,-88.439995,-0.000000
1755261996291,88.439995,-88.439995,-0.000000
1755261996295,88.439995,-88.439995,-0.000000
1755261996295,88.439995,-88.439995,-0.000000
1755261996298,88.439995,-88.439995,-9444752106037706752000.000000
1755261996305,88.439995,-44.219997,-9444753231937613594624.000000
1755261996305,88.439995,-88.439995,-9444753231937613594624.000000
1755261996305,88.439995,-88.439995,-9444752106037706752000.000000
1755261996305,88.439995,-88.439995,-9444750980137799909376.000000
1755261996308,88.439995,-132.659988,9007217508352000.000000
1755261996312,88.439995,-44.219997,9007217508352000.000000
1755261996312,88.439995,-88.439995,9007218582093824.000000
1755261996315,88.439995,-88.439995,9007218582093824.000000
1755261996315,88.439995,-88.439995,9007218582093824.000000
1755261996320,88.439995,-132.659988,-0.000000
1755261996320,88.439995,-88.439995,-0.000000
1755261996323,88.439995,-88.439995,-0.000000
1755261996323,88.439995,-88.439995,-0.000000
1755261996327,88.439995,-88.439995,-0.000000
1755261996330,88.439995,-88.439995,-0.000000
1755261996331,88.439995,-88.439995,-0.000000
1755261996331,88.439995,-88.439995,-0.000000
1755261996335,88.439995,-88.439995,-0.000000
1755261996338,44.219997,-88.439995,-0.000000
1755261996339,132.659988,-132.659988,0.000000
1755261996342,44.219997,-88.439995,0.000000
1755261996342,88.439995,-88.439995,0.000000
1755261996346,88.439995,-88.439995,0.000000
1755261996346,88.439995,-88.439995,0.000000
1755261996349,88.439995,-88.439995,9671407709838538004496384.000000
1755261996355,88.439995,-88.439995,9671410015681547218190336.000000
1755261996355,44.219997,-88.439995,9671411168603051825037312.000000
1755261996355,88.439995,-88.439995,9671413474446061038731264.000000
1755261996358,88.439995,-44.219997,9671413474446061038731264.000000
1755261996358,88.439995,-88.439995,590296302939914895360.000000
1755261996362,88.439995,-44.219997,590296302939914895360.000000
1755261996362,44.219997,-88.439995,590296302939914895360.000000
1755261996366,88.439995,-44.219997,590296302939914895360.000000
1755261996366,88.439995,-44.219997,590296162202426540032.000000
1755261996370,88.439995,-44.219997,-2535303316076643128594462146560.000000
1755261996371,44.219997,-44.219997,-2535302711613733321279874793472.000000
1755261996376,44.219997,-44.219997,-2535302409382278417622581116928.000000
1755261996376,44.219997,0.000000,-2535301502687913706650700087296.000000
1755261996376,44.219997,-44.219997,-2535301200456458802993406410752.000000
1755261996380,88.439995,-44.219997,-9444732965739290427392.000000
1755261996384,0.000000,0.000000,-9444735217539104112640.000000
1755261996384,44.219997,-44.219997,-9444737469338917797888.000000
1755261996387,44.219997,-44.219997,-9444739721138731483136.000000
1755261996387,0.000000,0.000000,-9444740847038638325760.000000
1755261996391,44.219997,-44.219997,9671414627367565645578240.000000
1755261996391,0.000000,0.000000,9671416933210574859272192.000000
1755261996394,44.219997,-44.219997,9671419239053584072966144.000000
1755261996398,0.000000,-44.219997,9671419239053584072966144.000000
1755261996398,44.219997,-44.219997,9671419239053584072966144.000000
1755261996403,0.000000,-44.219997,-0.000000
1755261996403,44.219997,0.000000,-0.000000
1755261996403,0.000000,-44.219997,-0.000000
1755261996407,44.219997,-44.219997,-0.000000
1755261996407,0.000000,-44.219997,-0.000000
1755261996411,44.219997,-44.219997,0.001953
1755261996411,0.000000,-44.219997,0.001953
1755261996415,44.219997,0.000000,0.001953
1755261996415,44.219997,-44.219997,0.001953
1755261996419,0.000000,-44.219997,0.001953
1755261996423,44.219997,-44.219997,590296232571170717696.000000
1755261996423,44.219997,-44.219997,590296162202426540032.000000
1755261996428,44.219997,-44.219997,590296091833682362368.000000
1755261996428,0.000000,0.000000,590296091833682362368.000000
1755261996431,44.219997,-44.219997,590296162202426540032.000000
1755261996431,44.219997,-44.219997,-39614104868964583144998043648.000000
1755261996435,44.219997,-44.219997,-39614104868964583144998043648.000000
1755261996435,44.219997,0.000000,-39614104868964583144998043648.000000
1755261996439,44.219997,-44.219997,-39614104868964583144998043648.000000
1755261996439,44.219997,-44.219997,-39614104868964583144998043648.000000
1755261996443,44.219997,-44.219997,0.000000
1755261996443,44.219997,-44.219997,0.000000
1755261996447,44.219997,0.000000,0.000000
1755261996447,44.219997,-44.219997,0.000000
1755261996450,0.000000,-44.219997,0.000000
1755261996454,44.219997,-44.219997,0.000000
1755261996454,44.219997,0.000000,0.000000
1755261996454,44.219997,-44.219997,0.000000
1755261996458,44.219997,0.000000,0.000000
1755261996458,44.219997,-44.219997,0.000000
1755261996463,44.219997,-44.219997,-0.000000
1755261996463,44.219997,0.000000,-0.000000
1755261996466,0.000000,-44.219997,-0.000000
1755261996470,44.219997,-44.219997,-0.000000
1755261996471,44.219997,-44.219997,-0.000000
1755261996474,44.219997,0.000000,0.000000
1755261996474,0.000000,-44.219997,0.000000
1755261996479,44.219997,-44.219997,0.000000
1755261996479,44.219997,-44.219997,0.000000
1755261996479,0.000000,0.000000,0.000000
1755261996483,44.219997,-44.219997,-0.000000
1755261996487,44.219997,-44.219997,-0.000000
1755261996487,44.219997,-44.219997,-0.000000
1755261996490,44.219997,-44.219997,-0.000000
1755261996490,44.219997,-44.219997,-0.000000
1755261996495,44.219997,-88.439995,0.000000
1755261996495,44.219997,-44.219997,0.000000
1755261996498,44.219997,-44.219997,0.000000
1755261996498,44.219997,-44.219997,0.000000
1755261996503,44.219997,-44.219997,0.000000
1755261996503,44.219997,-88.439995,-32.000046
1755261996505,44.219997,-44.219997,-32.000038
1755261996509,44.219997,-44.219997,-32.000038
1755261996509,44.219997,-44.219997,-32.000038
1755261996513,44.219997,-44.219997,-32.000038
1755261996513,44.219997,-88.439995,0.000000
1755261996516,44.219997,-44.219997,0.000000
1755261996516,88.439995,-44.219997,0.000000
1755261996520,44.219997,-44.219997,0.000000
1755261996520,44.219997,-88.439995,0.000000
1755261996524,44.219997,-44.219997,604463558325660928704512.000000
1755261996528,44.219997,-44.219997,604463558325660928704512.000000
1755261996528,88.439995,-88.439995,604463486268066890776576.000000
1755261996532,44.219997,-44.219997,604463414210472852848640.000000
1755261996532,44.219997,-44.219997,604463414210472852848640.000000
1755261996536,88.439995,-88.439995,-0.000000
1755261996536,44.219997,-44.219997,-0.000000
