timestamp,encoderLSpeed,encoderRSpeed
1755261843663,0.000000,0.000000
1755261843667,0.000000,0.000000
1755261843670,0.000000,0.000000
1755261843670,0.000000,0.000000
1755261843675,0.000000,0.000000
1755261843675,0.000000,0.000000
1755261843678,0.000000,0.000000
1755261843682,0.000000,0.000000
1755261843682,0.000000,0.000000
1755261843685,0.000000,0.000000
1755261843688,0.000000,0.000000
1755261843688,0.000000,-44.219997
1755261843693,0.000000,0.000000
1755261843694,44.219997,0.000000
1755261843694,0.000000,-44.219997
1755261843699,0.000000,0.000000
1755261843699,44.219997,-44.219997
1755261843699,0.000000,0.000000
1755261843703,0.000000,-44.219997
1755261843703,44.219997,0.000000
1755261843707,0.000000,-44.219997
1755261843707,44.219997,0.000000
1755261843710,0.000000,-44.219997
1755261843714,44.219997,0.000000
1755261843717,0.000000,-44.219997
1755261843717,0.000000,0.000000
1755261843717,44.219997,0.000000
1755261843721,44.219997,-44.219997
1755261843721,0.000000,0.000000
1755261843725,44.219997,-44.219997
1755261843728,0.000000,0.000000
1755261843728,44.219997,-44.219997
1755261843731,0.000000,0.000000
1755261843735,44.219997,-44.219997
1755261843736,44.219997,0.000000
1755261843740,0.000000,0.000000
1755261843740,44.219997,-44.219997
1755261843743,44.219997,0.000000
1755261843743,0.000000,-44.219997
1755261843746,44.219997,-44.219997
1755261843746,0.000000,0.000000
1755261843749,44.219997,-44.219997
1755261843753,44.219997,-44.219997
1755261843753,0.000000,0.000000
1755261843756,44.219997,-44.219997
1755261843756,0.000000,-44.219997
1755261843759,44.219997,-44.219997
1755261843760,44.219997,0.000000
1755261843763,44.219997,-44.219997
1755261843766,0.000000,-44.219997
1755261843766,44.219997,-44.219997
1755261843769,44.219997,-44.219997
1755261843773,44.219997,0.000000
1755261843773,0.000000,-44.219997
1755261843776,44.219997,-44.219997
1755261843780,44.219997,-44.219997
1755261843781,44.219997,-44.219997
1755261843781,44.219997,-44.219997
1755261843784,0.000000,0.000000
1755261843787,44.219997,-44.219997
1755261843787,44.219997,-44.219997
1755261843791,44.219997,-44.219997
1755261843791,44.219997,0.000000
1755261843794,0.000000,-44.219997
1755261843798,44.219997,-44.219997
1755261843798,44.219997,-44.219997
1755261843802,44.219997,-44.219997
1755261843802,44.219997,-44.219997
1755261843806,44.219997,0.000000
1755261843806,44.219997,-88.439995
1755261843811,44.219997,0.000000
1755261843811,44.219997,-44.219997
1755261843812,44.219997,-44.219997
1755261843815,44.219997,-44.219997
1755261843818,44.219997,-44.219997
1755261843818,44.219997,-44.219997
