timestamp,rSpeedBare,lSpeedBare,RCtrl,LCtrl
1755336619721,0.000000,0.000000,0.000000,0.000000
1755336619730,0.000000,0.000000,0.000000,0.000000
1755336619730,0.000000,0.000000,0.000000,0.000000
1755336619730,0.000000,0.000000,0.000000,0.000000
1755336619730,0.000000,0.000000,0.000000,0.000000
1755336619739,0.000000,0.000000,0.000000,0.000000
1755336619739,0.000000,0.000000,0.000000,0.000000
1755336619739,0.000000,0.000000,0.000000,0.000000
1755336619739,0.000000,0.000000,0.000000,0.000000
1755336619739,0.000000,0.000000,0.000000,0.000000
1755336619747,0.000000,0.000000,0.000000,0.000000
1755336619747,0.000000,0.000000,0.000000,0.000000
1755336619747,0.000000,0.000000,0.000000,0.000000
1755336619747,0.000000,0.000000,0.000000,0.000000
1755336619756,0.000000,0.000000,0.000000,0.000000
1755336619756,0.000000,0.000000,0.000000,0.000000
1755336619756,0.000000,0.000000,0.000000,0.000000
1755336619756,0.000000,0.000000,0.000000,0.000000
1755336619763,0.000000,0.000000,0.000000,0.000000
1755336619763,0.000000,0.000000,0.000000,0.000000
1755336619763,0.000000,0.000000,0.000000,0.000000
1755336619770,0.000000,0.000000,0.000000,0.000000
1755336619770,0.000000,0.000000,0.000000,0.000000
1755336619770,0.000000,0.000000,0.000000,0.000000
1755336619770,0.000000,0.000000,0.000000,0.000000
1755336619777,0.000000,0.000000,0.000000,0.000000
1755336619777,0.000000,0.000000,0.000000,0.000000
1755336619777,0.000000,0.000000,0.000000,0.000000
1755336619785,0.000000,0.000000,0.000000,0.000000
1755336619785,0.000000,0.000000,0.000000,0.000000
1755336619785,0.000000,0.000000,0.000000,0.000000
1755336619785,0.000000,0.000000,0.000000,0.000000
1755336619790,0.000000,0.000000,0.000000,0.000000
1755336619790,0.000000,0.000000,0.000000,0.000000
1755336619790,0.000000,0.000000,0.000000,0.000000
1755336619796,0.000000,0.000000,0.000000,0.000000
1755336619796,0.000000,0.000000,0.000000,0.000000
1755336619796,0.000000,0.000000,0.000000,0.000000
1755336619802,0.000000,0.000000,0.000000,0.000000
1755336619802,0.000000,0.000000,0.000000,0.000000
1755336619807,0.000000,0.000000,0.000000,0.000000
1755336619807,0.000000,0.000000,0.000000,0.000000
1755336619807,0.000000,0.000000,0.000000,0.000000
1755336619814,0.000000,0.000000,0.000000,0.000000
1755336619814,0.000000,0.000000,0.000000,0.000000
1755336619814,0.000000,0.000000,0.000000,0.000000
1755336619820,0.000000,0.000000,0.000000,0.000000
1755336619820,0.000000,0.000000,0.000000,0.000000
1755336619820,0.000000,0.000000,0.000000,0.000000
1755336619826,0.000000,0.000000,0.000000,0.000000
1755336619826,0.000000,0.000000,0.000000,0.000000
1755336619826,0.000000,0.000000,0.000000,0.000000
1755336619831,0.000000,0.000000,0.000000,0.000000
1755336619831,0.000000,0.000000,0.000000,0.000000
1755336619831,0.000000,0.000000,0.000000,0.000000
1755336619838,0.000000,0.000000,0.000000,0.000000
1755336619838,0.000000,0.000000,0.000000,0.000000
1755336619838,0.000000,0.000000,0.000000,0.000000
1755336619844,0.000000,0.000000,0.000000,0.000000
1755336619844,0.000000,0.000000,0.000000,0.000000
1755336619844,0.000000,0.000000,0.000000,0.000000
1755336619850,0.000000,0.000000,0.000000,0.000000
1755336619850,0.000000,0.000000,0.000000,0.000000
1755336619850,0.000000,0.000000,0.000000,0.000000
1755336619855,0.000000,0.000000,0.000000,0.000000
1755336619855,0.000000,0.000000,0.000000,0.000000
1755336619861,0.000000,0.000000,0.000000,0.000000
