timestamp,encoderLSpeed,leftCtrl
1755263942338,0.000000,0.000000
1755263942338,0.000000,0.000000
1755263942341,0.000000,0.000000
1755263942341,0.000000,0.000000
1755263942341,0.000000,0.000000
1755263942349,0.000000,0.000000
1755263942349,0.000000,0.000000
1755263942349,0.000000,0.000000
1755263942349,0.000000,0.000000
1755263942352,0.000000,0.000000
1755263942353,0.000000,0.000000
1755263942356,0.000000,0.000000
1755263942356,0.000000,0.000000
1755263942359,0.000000,0.000000
1755263942364,0.000000,0.000000
1755263942364,0.000000,0.000000
1755263942367,0.000000,0.000000
1755263942367,0.000000,0.000000
1755263942372,0.000000,0.000000
1755263942372,0.000000,0.000000
1755263942375,0.000000,0.000000
1755263942375,0.000000,0.000000
1755263942379,0.000000,0.000000
1755263942379,0.000000,0.000000
1755263942383,0.000000,0.000000
1755263942383,0.000000,0.000000
1755263942386,0.000000,0.000000
1755263942390,0.000000,0.000000
1755263942390,0.000000,0.000000
1755263942394,0.000000,0.000000
1755263942394,0.000000,0.000000
1755263942397,0.000000,0.000000
1755263942397,0.000000,0.000000
1755263942401,0.000000,0.000000
1755263942405,0.000000,0.000000
1755263942405,0.000000,0.000000
1755263942409,0.000000,0.000000
1755263942409,0.000000,0.000000
1755263942413,0.000000,0.000000
1755263942413,0.000000,0.000000
1755263942416,0.000000,0.000000
1755263942416,0.000000,0.000000
1755263942420,0.000000,0.000000
1755263942420,0.000000,0.000000
1755263942424,0.000000,0.000000
1755263942424,0.000000,0.000000
1755263942428,0.000000,0.000000
1755263942428,0.000000,0.000000
1755263942431,0.000000,0.000000
1755263942431,0.000000,0.000000
1755263942435,0.000000,0.000000
1755263942439,0.000000,0.000000
1755263942439,0.000000,0.000000
1755263942442,0.000000,0.000000
1755263942442,0.000000,0.000000
1755263942446,0.000000,0.000000
1755263942446,0.000000,0.000000
1755263942450,0.000000,0.000000
1755263942455,0.000000,0.000000
1755263942455,0.000000,0.000000
1755263942455,0.000000,0.000000
1755263942458,0.000000,0.000000
1755263942458,0.000000,0.000000
