timestamp,rSpeedFiltered,lSpeedFiltered,RCtrl,LCtrl
1755273295033,0.000000,0.000000,0.000000,0.000000
1755273295039,0.000000,0.000000,0.000000,0.000000
1755273295039,0.000000,0.000000,0.000000,0.000000
1755273295044,0.000000,0.000000,0.000000,0.000000
1755273295044,0.000000,0.000000,0.000000,0.000000
1755273295044,0.000000,0.000000,0.000000,0.000000
1755273295048,0.000000,0.000000,0.000000,0.000000
1755273295048,0.000000,0.000000,0.000000,0.000000
1755273295053,0.000000,0.000000,0.000000,0.000000
1755273295053,0.000000,0.000000,0.000000,0.000000
1755273295053,0.000000,0.000000,0.000000,0.000000
1755273295057,0.000000,0.000000,0.000000,0.000000
1755273295057,0.000000,0.000000,0.000000,0.000000
1755273295061,0.000000,0.000000,0.000000,0.000000
1755273295061,0.000000,0.000000,0.000000,0.000000
1755273295065,0.000000,0.000000,0.000000,0.000000
1755273295069,0.000000,0.000000,0.000000,0.000000
1755273295069,0.000000,0.000000,0.000000,0.000000
1755273295072,0.000000,0.000000,0.000000,0.000000
1755273295075,0.000000,0.000000,0.000000,0.000000
1755273295075,0.000000,0.000000,0.000000,0.000000
1755273295078,0.000000,0.000000,0.000000,0.000000
1755273295078,0.000000,0.000000,0.000000,0.000000
1755273295083,0.000000,0.000000,0.000000,0.000000
1755273295083,0.000000,0.000000,0.000000,0.000000
1755273295086,0.000000,0.000000,0.000000,0.000000
1755273295086,0.000000,0.000000,0.000000,0.000000
1755273295090,0.000000,0.000000,0.000000,0.000000
1755273295090,0.000000,0.000000,0.000000,0.000000
1755273295094,0.000000,0.000000,0.000000,0.000000
1755273295094,0.000000,0.000000,0.000000,0.000000
1755273295098,0.000000,0.000000,0.000000,0.000000
1755273295102,0.000000,0.000000,0.000000,0.000000
1755273295102,0.000000,0.000000,0.000000,0.000000
1755273295105,0.000000,0.000000,0.000000,0.000000
1755273295105,0.000000,0.000000,0.000000,0.000000
1755273295109,0.000000,0.000000,0.000000,0.000000
1755273295109,0.000000,0.000000,0.000000,0.000000
1755273295113,0.000000,0.000000,0.000000,0.000000
1755273295113,0.000000,0.000000,0.000000,0.000000
1755273295116,0.000000,0.000000,0.000000,0.000000
1755273295120,0.000000,0.000000,0.000000,0.000000
1755273295120,0.000000,0.000000,0.000000,0.000000
1755273295123,0.000000,0.000000,0.000000,0.000000
1755273295123,0.000000,0.000000,0.000000,0.000000
1755273295127,0.000000,0.000000,0.000000,0.000000
1755273295127,0.000000,0.000000,0.000000,0.000000
1755273295130,0.000000,0.000000,0.000000,0.000000
1755273295134,0.000000,0.000000,0.000000,0.000000
1755273295134,0.000000,0.000000,0.000000,0.000000
1755273295138,0.000000,0.000000,0.000000,0.000000
1755273295138,0.000000,0.000000,0.000000,0.000000
1755273295141,0.000000,0.000000,0.000000,0.000000
1755273295141,0.000000,0.000000,0.000000,0.000000
1755273295145,0.000000,0.000000,0.000000,0.000000
1755273295145,0.000000,0.000000,0.000000,0.000000
1755273295149,0.000000,0.000000,0.000000,0.000000
1755273295152,0.000000,0.000000,0.000000,0.000000
1755273295153,0.000000,0.000000,0.000000,0.000000
1755273295156,0.000000,0.000000,0.000000,0.000000
1755273295160,0.000000,0.000000,0.000000,0.000000
1755273295160,0.000000,0.000000,0.000000,0.000000
1755273295163,0.000000,0.000000,0.000000,0.000000
1755273295163,0.000000,0.000000,0.000000,0.000000
1755273295167,0.000000,0.000000,0.000000,0.000000
1755273295167,0.000000,0.000000,0.000000,0.000000
1755273295170,0.000000,0.000000,0.000000,0.000000
1755273295170,0.000000,0.000000,0.000000,0.000000
1755273295174,0.000000,0.000000,0.000000,0.000000
1755273295178,0.000000,0.000000,0.000000,0.000000
1755273295178,0.000000,0.000000,0.000000,0.000000
1755273295181,0.000000,0.000000,0.000000,0.000000
1755273295181,0.000000,0.000000,0.000000,0.000000
1755273295185,0.000000,0.000000,0.000000,0.000000
1755273295185,0.000000,0.000000,0.000000,0.000000
1755273295188,0.000000,0.000000,0.000000,0.000000
1755273295188,0.000000,0.000000,0.000000,0.000000
1755273295192,0.000000,0.000000,0.000000,0.000000
1755273295192,0.000000,0.000000,0.000000,0.000000
1755273295196,0.000000,0.000000,0.000000,0.000000
1755273295199,0.000000,0.000000,0.000000,0.000000
1755273295199,0.000000,0.000000,0.000000,0.000000
1755273295203,0.000000,0.000000,0.000000,0.000000
1755273295203,0.000000,0.000000,0.000000,0.000000
1755273295212,0.000000,0.000000,0.000000,0.000000
1755273295216,0.000000,0.000000,0.000000,0.000000
1755273295216,0.000000,0.000000,0.000000,0.000000
1755273295216,0.000000,0.000000,0.000000,0.000000
1755273295216,0.000000,0.000000,0.000000,0.000000
1755273295216,0.000000,0.000000,0.000000,0.000000
1755273295220,0.000000,0.000000,0.000000,0.000000
1755273295220,0.000000,0.000000,0.000000,0.000000
1755273295223,0.000000,0.000000,0.000000,0.000000
1755273295223,0.000000,0.000000,0.000000,0.000000
1755273295227,0.000000,0.000000,0.000000,0.000000
1755273295230,0.000000,0.000000,0.000000,0.000000
1755273295231,0.000000,0.000000,0.000000,0.000000
1755273295234,0.000000,0.000000,0.000000,0.000000
1755273295234,0.000000,0.000000,0.000000,0.000000
1755273295237,0.000000,0.000000,0.000000,0.000000
1755273295238,0.000000,0.000000,0.000000,0.000000
1755273295241,0.000000,0.000000,0.000000,0.000000
1755273295245,0.000000,0.000000,0.000000,0.000000
1755273295245,0.000000,0.000000,0.000000,0.000000
1755273295248,0.000000,0.000000,0.000000,0.000000
1755273295248,0.000000,0.000000,0.000000,0.000000
1755273295252,0.000000,0.000000,0.000000,0.000000
1755273295252,0.000000,0.000000,0.000000,0.000000
1755273295255,0.000000,0.000000,0.000000,0.000000
1755273295259,0.000000,0.000000,0.000000,0.000000
1755273295259,0.000000,0.000000,0.000000,0.000000
1755273295263,0.000000,0.000000,0.000000,0.000000
