timestamp,Rspeed,Lspeed,RControl,LControl
1755085482139,0.000000,0.000000,0.000000,0.000000
1755085482144,0.000000,0.000000,0.000000,0.000000
1755085482144,0.000000,0.000000,0.000000,0.000000
1755085482149,0.000000,0.000000,0.000000,0.000000
1755085482149,0.000000,0.000000,0.000000,0.000000
1755085482153,0.000000,0.000000,0.000000,0.000000
1755085482153,0.000000,0.000000,0.000000,0.000000
1755085482158,0.000000,0.000000,0.000000,0.000000
1755085482158,0.000000,0.000000,0.000000,0.000000
1755085482158,0.000000,0.000000,0.000000,0.000000
1755085482164,0.000000,0.000000,0.000000,0.000000
1755085482164,0.000000,0.000000,0.000000,0.000000
1755085482169,0.000000,0.000000,0.000000,0.000000
1755085482169,0.000000,0.000000,0.000000,0.000000
1755085482169,0.000000,0.000000,0.000000,0.000000
1755085482174,0.000000,0.000000,0.000000,0.000000
1755085482174,0.000000,0.000000,0.000000,0.000000
1755085482174,0.000000,0.000000,0.000000,0.000000
1755085482179,0.000000,0.000000,0.000000,0.000000
1755085482179,0.000000,0.000000,0.000000,0.000000
1755085482186,0.000000,0.000000,0.000000,0.000000
1755085482186,0.000000,0.000000,0.000000,0.000000
1755085482186,0.000000,0.000000,0.000000,0.000000
1755085482193,0.000000,0.000000,0.000000,0.000000
1755085482193,0.000000,0.000000,0.000000,0.000000
1755085482193,0.000000,0.000000,0.000000,0.000000
1755085482200,0.000000,0.000000,0.000000,0.000000
1755085482200,0.000000,0.000000,0.000000,0.000000
1755085482200,0.000000,0.000000,0.000000,0.000000
1755085482200,0.000000,0.000000,0.000000,0.000000
1755085482207,0.000000,0.000000,0.000000,0.000000
1755085482207,0.000000,0.000000,0.000000,0.000000
1755085482207,0.000000,0.000000,0.000000,0.000000
1755085482213,0.000000,0.000000,0.000000,0.000000
1755085482215,0.000000,0.000000,0.000000,0.000000
1755085482215,0.000000,0.000000,0.000000,0.000000
1755085482215,0.000000,0.000000,0.000000,0.000000
1755085482221,0.000000,0.000000,0.000000,0.000000
1755085482221,0.000000,0.000000,0.000000,0.000000
1755085482221,0.000000,0.000000,0.000000,0.000000
1755085482221,0.000000,0.000000,0.000000,0.000000
1755085482227,0.000000,0.000000,0.000000,0.000000
1755085482227,0.000000,0.000000,0.000000,0.000000
1755085482234,0.000000,0.000000,0.000000,0.000000
1755085482234,0.000000,0.000000,0.000000,0.000000
1755085482234,0.000000,0.000000,0.000000,0.000000
1755085482234,0.000000,0.000000,0.000000,0.000000
1755085482240,0.000000,0.000000,0.000000,0.000000
1755085482240,0.000000,0.000000,0.000000,0.000000
1755085482240,0.000000,0.000000,0.000000,0.000000
1755085482246,0.000000,0.000000,0.000000,0.000000
1755085482246,0.000000,0.000000,0.000000,0.000000
1755085482246,0.000000,0.000000,0.000000,0.000000
1755085482252,0.000000,0.000000,0.000000,0.000000
1755085482252,0.000000,0.000000,0.000000,0.000000
1755085482252,0.000000,0.000000,0.000000,0.000000
1755085482258,0.000000,0.000000,0.000000,0.000000
1755085482258,0.000000,0.000000,0.000000,0.000000
1755085482262,0.000000,0.000000,0.000000,0.000000
1755085482263,0.000000,0.000000,0.000000,0.000000
1755085482263,0.000000,0.000000,0.000000,0.000000
1755085482268,0.000000,0.000000,0.000000,0.000000
